categoria,nombre,url_logo
Internacionales,CGTN (China Global Television Network),https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/g/cgtn.png
Internacionales,RAI,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/r/a/raiitaliacmyk.jpg
Internacionales,CANAL 26,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_canal26_1.png
Internacionales,BLOOMBERG,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/b/l/bloomberg-logo-white.png
Internacionales,CNN INTERNACIONAL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_cnn_internacional.png
Internacionales,CNN ESPAÑOL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/n/cnn-espanha.png
Internacionales,ANTENA 3,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/n/antena_3.png
Nacionales,Canal America,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/m/am_rica_tv__nuevo_logo_junio_2020_.png
Nacionales,La TV Publica,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/a/la_tv_publica_ar_png.png
Nacionales,El Nueve,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/0/0/00_logo_en_alta.png
Nacionales,Crónica,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/r/cronica_hd.png
Nacionales,Ciudad Magazine,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/i/ciudad_magazine_logo_new.png
Nacionales,Volver,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_volver.png
Nacionales,Encuentro,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_del_canal_encuentro.svg.png
Nacionales,Net TV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/n/e/net_tv_logo.png
Nacionales,El Trece,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/l/eltrece.png
Nacionales,Telefe,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/e/telefe_logo_tx_blanco_alpha.png
Nacionales,A24,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_a24.png
Deportes,Plan Streaming,https://media.bss-prd.directvgo.com/media/catalog/product/placeholder/default/default.png
Deportes,DSPORTS,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo-directv-sports_4x3_final.png
Deportes,DSPORTS 2,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/directv_sports2.png
Deportes,DSPORTS +,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/6/1/613_blanco2.png
Deportes,Dsports Radio,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/s/dsports_radio_2.png
Deportes,TYC SPORT INTER,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/6/2/629_-_tyc_sports_blanco.png
Deportes,ESPN,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/s/espn_pngitem_1402483.png
Deportes,ESPN 2,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/s/espn_2_v02.png
Deportes,ESPN 3,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_rojo_espn3.png
Deportes,ESPN 4,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/s/espn_4.png
Deportes,ESPN EXTRA,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/s/espnextra.png
Deportes,FOX SPORTS,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/o/fox-sports-logo_inst_blanco-png.png
Deportes,FOX SPORTS 2,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/f/o/fox_sports_2.png
Deportes,FOX SPORTS 3,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/6/0/609_1_1.png
Deportes,GOLF CHANNEL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/g/o/golf_1.png
Deportes,DEPORTV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/e/deportv.svg.png
Variedades,AMC Series,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/m/amcseries.jpg
Variedades,CANAL 9,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/a/canal_9_uy.png
Variedades,Encuentro,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/n/encuentro.png
Variedades,DSHOW,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_dshow_color_mesa_de_trabajo_1.png
Variedades,KZO,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/k/z/kzo.png
Variedades,Alacocina TV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/a/l/alacocina_tv_pe.png
Variedades,TLC,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/l/tlc.png
Variedades,EL GOURMET,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/2/3/232_1.png
Variedades,TNT Novelas,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/n/tnt_novelas_white.png
Variedades,LIFETIME,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/i/lifetime.png
Variedades,HGTV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/h/g/hgtv.png
Variedades,DISCOVERY TURBO,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/d/i/discovery_turbo.png
Variedades,COMEDY CENTRAL,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/c/o/comedy_central_fundo_escuro.png
Variedades,USA,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/s/y/syfy.png
Variedades,ADULT SWIM,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/l/o/logo_as_white.png
Variedades,DISCOVERY HOME & HEALTH,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/2/2/229.png
Variedades,TELEMUNDO,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/t/e/telemundo.png
Variedades,E! ENTERTAINMENT,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/e/_/e_blanco_1_1.png
Variedades,HOLA TV,https://media.bss-prd.directvgo.com/media/catalog/product/cache/74c1057f7991b4edb2bc7bdaa94de933/2/2/221_-_hola_tv_1.png
